CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026),NF EXCL
C44399,Oth malignant neoplasm of skin of other parts of face,Other specified malignant neoplasm of skin of other parts of face,
C4440,Unspecified malignant neoplasm of skin of scalp and neck,Unspecified malignant neoplasm of skin of scalp and neck,
C4449,Other specified malignant neoplasm of skin of scalp and neck,Other specified malignant neoplasm of skin of scalp and neck,
C44500,Unspecified malignant neoplasm of anal skin,Unspecified malignant neoplasm of anal skin,
C44501,Unspecified malignant neoplasm of skin of breast,Unspecified malignant neoplasm of skin of breast,
C44509,Unsp malignant neoplasm of skin of other part of trunk,Unspecified malignant neoplasm of skin of other part of trunk,
C44590,Other specified malignant neoplasm of anal skin,Other specified malignant neoplasm of anal skin,
C44591,Other specified malignant neoplasm of skin of breast,Other specified malignant neoplasm of skin of breast,
C44599,Oth malignant neoplasm of skin of other part of trunk,Other specified malignant neoplasm of skin of other part of trunk,
C44601,"Unsp malignant neoplasm skin/ unsp upper limb, inc shoulder","Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",
C44602,"Unsp malignant neoplasm skin/ right upper limb, inc shoulder","Unspecified malignant neoplasm of skin of right upper limb, including shoulder",
C44609,"Unsp malignant neoplasm skin/ left upper limb, inc shoulder","Unspecified malignant neoplasm of skin of left upper limb, including shoulder",
C44691,"Oth malignant neoplasm skin/ unsp upper limb, inc shoulder","Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",
C44692,"Oth malignant neoplasm skin/ right upper limb, inc shoulder","Other specified malignant neoplasm of skin of right upper limb, including shoulder",
C44699,"Oth malignant neoplasm skin/ left upper limb, inc shoulder","Other specified malignant neoplasm of skin of left upper limb, including shoulder",
C44701,"Unsp malignant neoplasm skin/ unsp lower limb, including hip","Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",
C44702,"Unsp malignant neoplasm skin/ right lower limb, inc hip","Unspecified malignant neoplasm of skin of right lower limb, including hip",
C44709,"Unsp malignant neoplasm skin/ left lower limb, including hip","Unspecified malignant neoplasm of skin of left lower limb, including hip",
C44791,"Oth malignant neoplasm skin/ unsp lower limb, including hip","Other specified malignant neoplasm of skin of unspecified lower limb, including hip",
C44792,"Oth malignant neoplasm skin/ right lower limb, including hip","Other specified malignant neoplasm of skin of right lower limb, including hip",
C44799,"Oth malignant neoplasm skin/ left lower limb, including hip","Other specified malignant neoplasm of skin of left lower limb, including hip",
C4480,Unspecified malignant neoplasm of overlapping sites of skin,Unspecified malignant neoplasm of overlapping sites of skin,
C4489,Oth malignant neoplasm of overlapping sites of skin,Other specified malignant neoplasm of overlapping sites of skin,
C4490,"Unspecified malignant neoplasm of skin, unspecified","Unspecified malignant neoplasm of skin, unspecified",
C4499,"Other specified malignant neoplasm of skin, unspecified","Other specified malignant neoplasm of skin, unspecified",
